MaterialNumber,ProductType,Plant,ComplexityScore,IfPhasedOut
004359558868,Disposables,569742,6,NA
004359566868,Disposables,569742,1,NA
004359575868,Disposables,569742,10,NA
004359814679,Hardware,570122,2,NA
004367569679,Software,569966,10,NA
004374313679,Software,569966,5,NA
004377696868,Disposables,569722,1,NA
004378041680,Software,569967,3,NA
004378176679,Hardware,569571,5,NA
004381357679,Disposables,570226,1,NA
004391125838,Disposables,569563,4,x
004391125868,Disposables,569563,6,x
004391337679,Software,569966,8,NA
004391387679,Software,569966,7,NA
004394198868,Disposables,569422,2,NA
004401563679,Hardware,570051,6,NA
004406565868,Disposables,569401,9,NA
004406777679,Disposables,569356,1,NA
004406804679,Disposables,569356,7,NA
004406828868,Disposables,569722,9,NA
004416637679,Software,570604,9,NA
004422621679,Software,570603,6,NA
004422651679,Software,570603,9,NA
004428192679,Disposables,569222,3,NA
004435642679,Hardware,569471,10,NA
004456204679,Software,569967,8,NA
004456344679,Software,569967,7,NA
004456456679,Software,569967,8,NA
004459343679,Disposables,569279,2,NA
004459358679,Disposables,569279,4,NA
004463060868,Disposables,569722,7,NA
004464777679,Software,569967,9,NA
004465045679,Software,569967,9,NA
004465063679,Software,569967,6,NA
004465071679,Software,569967,5,NA
004468334679,Hardware,569261,7,NA
004469733868,Disposables,569722,2,NA
004469838868,Disposables,569722,5,NA
004471391679,Disposables,569356,7,NA
004472003868,Disposables,569762,7,NA
004472011868,Disposables,569762,5,NA
004474554868,Disposables,569422,4,NA
004484108679,Software,570603,7,NA
004484143868,Disposables,569564,7,NA
004484155679,Hardware,569212,1,NA
004486700679,Disposables,569266,8,NA
004487565838,Disposables,569564,9,x
004487565868,Disposables,569564,7,x
004490106868,Disposables,569564,9,NA
004491570868,Disposables,569722,4,NA
004491570869,Disposables,569722,9,NA
004491586868,Disposables,569722,1,NA
004491702868,Disposables,569762,8,NA
004491710868,Disposables,569722,8,NA
004491748868,Disposables,569762,5,NA
004492743679,Hardware,569471,3,NA
004493099868,Disposables,569732,2,NA
004493134868,Disposables,569732,9,NA
004493172868,Disposables,569732,9,NA
004493188868,Disposables,569742,10,NA
004493196868,Disposables,569732,1,NA
004493239868,Disposables,569732,7,NA
004493253868,Disposables,569732,1,NA
004493269868,Disposables,569742,6,NA
004493277868,Disposables,569742,9,NA
004493304868,Disposables,569732,10,NA
004493320868,Disposables,569742,7,NA
004493336868,Disposables,569742,3,NA
004493354868,Disposables,569732,8,NA
004493370868,Disposables,569742,7,NA
004493378868,Disposables,569742,6,NA
004493386868,Disposables,569742,5,NA
004494079838,Disposables,569564,7,x
004494079868,Disposables,569564,4,x
004494087838,Disposables,569564,8,NA
004494087868,Disposables,569564,7,NA
004494122838,Disposables,569564,6,NA
004494122868,Disposables,569564,10,NA
004494130838,Disposables,569569,8,NA
004494130868,Disposables,569569,3,NA
004494160868,Disposables,569567,7,x
004498101679,Software,569966,4,NA
004498109679,Software,569966,1,NA
004498117679,Software,569966,7,NA
004498144679,Software,569966,2,NA
004498147679,Software,569966,2,NA
004498174679,Software,569966,7,NA
004498182679,Software,569966,9,NA
004498190679,Software,569966,7,NA
004498198679,Software,569966,6,NA
004498233679,Software,569966,8,NA
004498241679,Software,569966,9,NA
004498245679,Software,569966,1,NA
004498263679,Software,569966,7,NA
004498271679,Software,569966,8,NA
004498279679,Software,569966,5,NA
004500922868,Disposables,569722,7,NA
004500976868,Disposables,569722,8,NA
004501414868,Disposables,569732,4,NA
004501485868,Disposables,569732,4,NA
004503218868,Disposables,569732,9,NA
004512383869,Disposables,569222,8,NA
004512391718,Disposables,569222,5,NA
004512399734,Disposables,569222,5,NA
004512407849,Disposables,569222,8,NA
004512434734,Disposables,569222,8,NA
004515281868,Disposables,569732,1,NA
004523881868,Disposables,569742,10,NA
004524665868,Disposables,569722,2,NA
004524975868,Disposables,569722,7,NA
004530527868,Disposables,569752,8,NA
004530673868,Disposables,569752,2,x
004530762868,Disposables,569752,6,NA
004530813779,Disposables,569278,10,NA
004531123679,Hardware,569471,6,x
004537631679,Disposables,570226,3,NA
004538627679,Disposables,570241,8,NA
004538700868,Disposables,569722,6,NA
004540284868,Disposables,569722,1,NA
004540630679,Software,569966,9,NA
004545672679,Hardware,569571,5,NA
004548598679,Software,569967,6,NA
004554509868,Disposables,569251,1,NA
004555710679,Software,569966,7,NA
004555726679,Software,569966,3,NA
004557385679,Hardware,569471,9,NA
004558209679,Disposables,569356,5,NA
004559519679,Hardware,570221,4,NA
004561472651,Hardware,569471,6,x
004563899679,Hardware,569471,1,NA
004565100679,Software,569967,1,NA
004566080868,Hardware,569261,5,NA
004572775868,Disposables,569722,8,NA
004572793868,Disposables,569722,2,NA
